Year,Country,Type,Count
2016,DO,Intermediate,0.0
2016,DO,Intro,0.0
2016,EC,Advanced,0.0
2016,EC,Intermediate,1.0
2016,EC,Intro,2.0
2016,EG,Advanced,0.0
2016,EG,Intermediate,0.0
2016,EG,Intro,0.0
2016,ES,Advanced,0.0
2016,ES,Intermediate,0.0
2016,ES,Intro,0.0
2016,ET,Advanced,0.0
2016,ET,Intermediate,0.0
2016,ET,Intro,1.0
2016,FR,Advanced,0.0
2016,FR,Intermediate,2.0
2016,FR,Intro,6.0
2016,GB,Advanced,0.0
2016,GB,Intermediate,2.0
2016,GB,Intro,40.0
2016,GE,Advanced,0.0
2016,GE,Intermediate,0.0
2016,GE,Intro,0.0
2016,GH,Advanced,0.0
2016,GH,Intermediate,0.0
2016,GH,Intro,0.0
2016,GR,Advanced,0.0
2016,GR,Intermediate,0.0
2016,GR,Intro,0.0
2016,GT,Advanced,0.0
2016,GT,Intermediate,0.0
2016,GT,Intro,1.0
2016,HU,Advanced,0.0
2016,HU,Intermediate,0.0
2016,HU,Intro,0.0
2016,ID,Advanced,1.0
