Year,Country,Type,Count
2013,US,Partner,78.0
2013,US,Public,1.0
2013,US,Regional,0.0
2013,US,Seminar,0.0
2013,US,Symposium,0.0
2013,US,Webinar,0.0
2013,VN,Intro,0.0
2013,VN,Nodal,0.0
2013,VN,Partner,5.0
2013,VN,Public,0.0
2013,VN,Regional,0.0
2013,VN,Seminar,0.0
2013,VN,Symposium,0.0
2013,VN,Webinar,0.0
2013,WORLD,Intro,131.0
2013,WORLD,Nodal,71.0
2013,WORLD,Partner,295.0
2013,WORLD,Public,38.0
2013,WORLD,Regional,77.0
2013,WORLD,Seminar,0.0
2013,WORLD,Symposium,120.0
2013,WORLD,Webinar,25.0
2013,ZA,Intro,0.0
2013,ZA,Nodal,0.0
2013,ZA,Partner,0.0
2013,ZA,Public,0.0
2013,ZA,Regional,0.0
2013,ZA,Seminar,0.0
2013,ZA,Symposium,0.0
2013,ZA,Webinar,0.0
2013,ZW,Intro,0.0
2013,ZW,Nodal,0.0
2013,ZW,Partner,0.0
2013,ZW,Public,0.0
2013,ZW,Regional,0.0
2013,ZW,Seminar,0.0
2013,ZW,Symposium,0.0
2013,ZW,Webinar,0.0
2014,AE,Intro,0.0
2014,AE,Nodal,0.0
2014,AE,Partner,0.0
2014,AE,Public,0.0
2014,AE,Regional,0.0
2014,AE,Seminar,0.0
2014,AE,Symposium,0.0
2014,AE,Webinar,0.0
2014,AR,Intro,0.0
2014,AR,Nodal,0.0
2014,AR,Partner,0.0
2014,AR,Public,0.0
2014,AR,Regional,0.0
2014,AR,Seminar,0.0
2014,AR,Symposium,0.0
2014,AR,Webinar,0.0
2014,AT,Intro,0.0
2014,AT,Nodal,0.0
2014,AT,Partner,0.0
2014,AT,Public,0.0
2014,AT,Regional,0.0
2014,AT,Seminar,0.0
2014,AT,Symposium,0.0
2014,AT,Webinar,0.0
2014,AU,Intro,0.0
2014,AU,Nodal,0.0
2014,AU,Partner,0.0
2014,AU,Public,0.0
2014,AU,Regional,0.0
2014,AU,Seminar,0.0
2014,AU,Symposium,0.0
2014,AU,Webinar,0.0
2014,BB,Intro,0.0
2014,BB,Nodal,0.0
2014,BB,Partner,2.0
2014,BB,Public,0.0
2014,BB,Regional,0.0
2014,BB,Seminar,0.0
2014,BB,Symposium,0.0
2014,BB,Webinar,0.0
2014,BD,Intro,0.0
2014,BD,Nodal,0.0
2014,BD,Partner,0.0
2014,BD,Public,0.0
2014,BD,Regional,0.0
2014,BD,Seminar,0.0
2014,BD,Symposium,0.0
2014,BD,Webinar,0.0
2014,BE,Intro,0.0
2014,BE,Nodal,0.0
2014,BE,Partner,0.0
2014,BE,Public,0.0
2014,BE,Regional,1.0
2014,BE,Seminar,0.0
2014,BE,Symposium,0.0
2014,BE,Webinar,0.0
2014,BG,Intro,0.0
2014,BG,Nodal,0.0
2014,BG,Partner,0.0
2014,BG,Public,0.0
2014,BG,Regional,0.0
2014,BG,Seminar,0.0
2014,BG,Symposium,0.0
2014,BG,Webinar,0.0
2014,BJ,Intro,0.0
2014,BJ,Nodal,0.0
2014,BJ,Partner,0.0
2014,BJ,Public,0.0
2014,BJ,Regional,0.0
2014,BJ,Seminar,0.0
2014,BJ,Symposium,0.0
2014,BJ,Webinar,0.0
2014,BO,Intro,0.0
2014,BO,Nodal,1.0
2014,BO,Partner,0.0
2014,BO,Public,0.0
2014,BO,Regional,0.0
2014,BO,Seminar,0.0
2014,BO,Symposium,0.0
2014,BO,Webinar,0.0
2014,BR,Intro,4.0
2014,BR,Nodal,0.0
2014,BR,Partner,0.0
2014,BR,Public,0.0
2014,BR,Regional,0.0
2014,BR,Seminar,0.0
2014,BR,Symposium,0.0
2014,BR,Webinar,0.0
2014,BS,Intro,0.0
2014,BS,Nodal,0.0
2014,BS,Partner,0.0
2014,BS,Public,0.0
2014,BS,Regional,0.0
2014,BS,Seminar,0.0
2014,BS,Symposium,0.0
2014,BS,Webinar,0.0
2014,BT,Intro,0.0
2014,BT,Nodal,0.0
2014,BT,Partner,0.0
2014,BT,Public,0.0
2014,BT,Regional,0.0
2014,BT,Seminar,0.0
2014,BT,Symposium,0.0
2014,BT,Webinar,0.0
2014,BW,Intro,0.0
2014,BW,Nodal,0.0
2014,BW,Partner,0.0
2014,BW,Public,0.0
